mithral encode f32    , N D C B:,   16384, 512,  64, 32,    (5x10):,  0.7240, (1.4483e+09/s),  0.6940, (1.5109e+09/s),  0.6860, (1.5285e+09/s),  0.6890, (1.5219e+09/s),  0.6850, (1.5308e+09/s)
mithral encode i8     , N D C B:,   16384, 512,  64, 32,    (5x10):,  0.3950, (2.6546e+09/s),  0.4020, (2.6084e+09/s),  0.3970, (2.6412e+09/s),  0.3920, (2.6749e+09/s),  0.3980, (2.6346e+09/s)
mithral encode i16    , N D C B:,   16384, 512,  64, 32,    (5x10):,  0.4630, (2.2647e+09/s),  0.4630, (2.2647e+09/s),  0.5160, (2.0321e+09/s),  0.5110, (2.0520e+09/s),  0.4380, (2.3940e+09/s)
bolt encode           , N D C B:,   16384, 512,  64, 32,    (5x10):, 12.7420, (8.2293e+07/s), 12.7410, (8.2299e+07/s), 12.7220, (8.2422e+07/s), 12.7690, (8.2119e+07/s), 13.1570, (7.9697e+07/s)
pq encode             , N D C B:,   16384, 512,  32, 32,    (5x10):, 275.9130, (3.8004e+06/s), 275.7230, (3.8030e+06/s), 274.5360, (3.8194e+06/s), 275.1170, (3.8114e+06/s), 275.4350, (3.8070e+06/s)
opq encode            , N D C B:,   16384, 512,  32, 32,    (5x10):, 461.9950, (2.2697e+06/s), 462.0390, (2.2695e+06/s), 465.1270, (2.2544e+06/s), 464.2110, (2.2588e+06/s), 461.8370, (2.2704e+06/s)
mithral encode f32    , N D C B:,   16384, 1024,  16,  8,   (5x10):,  0.1290, (2.0321e+09/s),  0.1290, (2.0321e+09/s),  0.1280, (2.0480e+09/s),  0.1180, (2.2216e+09/s),  0.1180, (2.2216e+09/s)
mithral encode i8     , N D C B:,   16384, 1024,  16,  8,   (5x10):,  0.0870, (3.0131e+09/s),  0.0920, (2.8494e+09/s),  0.0880, (2.9789e+09/s),  0.0880, (2.9789e+09/s),  0.0870, (3.0131e+09/s)
mithral encode i16    , N D C B:,   16384, 1024,  16,  8,   (5x10):,  0.0980, (2.6749e+09/s),  0.0990, (2.6479e+09/s),  0.0970, (2.7025e+09/s),  0.0970, (2.7025e+09/s),  0.0970, (2.7025e+09/s)
bolt encode           , N D C B:,   16384, 1024,  16,  8,   (5x10):, 24.0960, (1.0879e+07/s), 24.2160, (1.0825e+07/s), 23.9660, (1.0938e+07/s), 23.9550, (1.0943e+07/s), 23.9760, (1.0934e+07/s)
pq encode             , N D C B:,   16384, 1024,   8,  8,   (5x10):, 457.7740, (5.7265e+05/s), 458.0150, (5.7235e+05/s), 462.6760, (5.6658e+05/s), 457.0650, (5.7354e+05/s), 457.2170, (5.7335e+05/s)
opq encode            , N D C B:,   16384, 1024,   8,  8,   (5x10):, 1026.5900, (2.5535e+05/s), 1036.7010, (2.5286e+05/s), 1028.2640, (2.5494e+05/s), 1031.4980, (2.5414e+05/s), 1034.4190, (2.5342e+05/s)
mithral encode f32    , N D C B:,   16384, 1024,  32, 16,   (5x10):,  0.3650, (1.4364e+09/s),  0.3660, (1.4325e+09/s),  0.3500, (1.4980e+09/s),  0.3000, (1.7476e+09/s),  0.3000, (1.7476e+09/s)
mithral encode i8     , N D C B:,   16384, 1024,  32, 16,   (5x10):,  0.2120, (2.4731e+09/s),  0.1930, (2.7165e+09/s),  0.1930, (2.7165e+09/s),  0.1990, (2.6346e+09/s),  0.1990, (2.6346e+09/s)
mithral encode i16    , N D C B:,   16384, 1024,  32, 16,   (5x10):,  0.2170, (2.4161e+09/s),  0.2170, (2.4161e+09/s),  0.2260, (2.3199e+09/s),  0.2160, (2.4273e+09/s),  0.2120, (2.4731e+09/s)
bolt encode           , N D C B:,   16384, 1024,  32, 16,   (5x10):, 22.3920, (2.3414e+07/s), 22.3690, (2.3438e+07/s), 22.3680, (2.3439e+07/s), 22.3770, (2.3430e+07/s), 22.3850, (2.3421e+07/s)
pq encode             , N D C B:,   16384, 1024,  16, 16,   (5x10):, 472.3260, (1.1100e+06/s), 475.0700, (1.1036e+06/s), 472.5860, (1.1094e+06/s), 472.7610, (1.1090e+06/s), 473.8840, (1.1064e+06/s)
opq encode            , N D C B:,   16384, 1024,  16, 16,   (5x10):, 1039.4960, (5.0437e+05/s), 1049.1800, (4.9971e+05/s), 1048.1970, (5.0018e+05/s), 1040.8970, (5.0369e+05/s), 1042.7840, (5.0278e+05/s)
mithral encode f32    , N D C B:,   16384, 1024,  64, 32,   (5x10):,  0.7450, (1.4075e+09/s),  0.7290, (1.4384e+09/s),  0.7200, (1.4564e+09/s),  0.7200, (1.4564e+09/s),  0.7430, (1.4113e+09/s)
mithral encode i8     , N D C B:,   16384, 1024,  64, 32,   (5x10):,  0.4030, (2.6019e+09/s),  0.4110, (2.5513e+09/s),  0.3980, (2.6346e+09/s),  0.3980, (2.6346e+09/s),  0.4030, (2.6019e+09/s)
mithral encode i16    , N D C B:,   16384, 1024,  64, 32,   (5x10):,  0.4610, (2.2746e+09/s),  0.4440, (2.3617e+09/s),  0.4500, (2.3302e+09/s),  0.5120, (2.0480e+09/s),  0.4440, (2.3617e+09/s)
bolt encode           , N D C B:,   16384, 1024,  64, 32,   (5x10):, 23.2930, (4.5017e+07/s), 23.2720, (4.5057e+07/s), 23.2750, (4.5052e+07/s), 23.3060, (4.4992e+07/s), 23.3690, (4.4870e+07/s)
pq encode             , N D C B:,   16384, 1024,  32, 32,   (5x10):, 492.3450, (2.1298e+06/s), 495.8910, (2.1145e+06/s), 493.7030, (2.1239e+06/s), 492.7350, (2.1281e+06/s), 496.9720, (2.1099e+06/s)
opq encode            , N D C B:,   16384, 1024,  32, 32,   (5x10):, 1059.3660, (9.8981e+05/s), 1061.7450, (9.8760e+05/s), 1059.5960, (9.8960e+05/s), 1061.1390, (9.8816e+05/s), 1059.2220, (9.8995e+05/s)
