D,M,N,__pyience_timestamp__,acc_amm,acc_orig,alpha,bias,canCheat,corr,cossim,d,lut_work_const,method,muls,ncentroids,ncodebooks,nlookups,nnz,normalized_mse,problem,r,raw_mse,s,secs,sparsity,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,10,10000,2020-01-05T14_37_58,0.1,0.9359,,,,0.4069364666938782,0.4068533480167389,4.0,,FastJL,3650408.0,,,,,0.9888452291488647,,,13.381263732910154,,0.06737230002181605,,CIFAR-10 Softmax,1,0.045806057751178735,3.67861557006836,0.003383213886991143,0.05191907659173012
512,10,10000,2020-01-05T14_37_58,0.1,0.9359,,,,0.37669503688812256,0.3759209215641022,4.0,,FastJL,3650408.0,,,,,0.9844956994056702,,,13.322404861450195,,0.059046110982308164,,CIFAR-10 Softmax,2,0.045806057751178735,3.67861557006836,-0.002995771123096347,0.07880280166864395
512,10,10000,2020-01-05T14_37_58,0.1,0.9359,,,,0.4366862177848816,0.436786949634552,4.0,,FastJL,3650408.0,,,,,0.9886334538459778,,,13.378397941589355,,0.059319947991753,,CIFAR-10 Softmax,3,0.045806057751178735,3.67861557006836,0.0007152120233513415,0.049263518303632736
512,10,10000,2020-01-05T14_37_58,0.1,0.9359,,,,0.3026575744152069,0.302350252866745,4.0,,FastJL,3650408.0,,,,,0.9917380213737488,,,13.420409202575685,,0.05234596200170927,,CIFAR-10 Softmax,4,0.045806057751178735,3.67861557006836,-0.0009748620796017348,0.05242665484547615
512,10,10000,2020-01-05T14_37_58,0.1,0.9359,,,,0.4548878371715546,0.4550158977508545,4.0,,FastJL,3650408.0,,,,,0.9837670922279358,,,13.312544822692873,,0.04846227599773556,,CIFAR-10 Softmax,5,0.045806057751178735,3.67861557006836,0.002224783878773452,0.06756806373596191
512,10,10000,2020-01-05T14_37_58,0.1,0.9359,,,,0.3865645825862885,0.3860614001750946,4.0,,FastJL,3650408.0,,,,,0.9896498918533324,,,13.392152786254885,,0.04925868398277089,,CIFAR-10 Softmax,6,0.045806057751178735,3.67861557006836,-0.0013671779306605456,0.05094179883599281
512,10,10000,2020-01-05T14_37_58,0.1,0.9359,,,,0.5122495889663696,0.5109752416610718,4.0,,FastJL,3650408.0,,,,,0.985422670841217,,,13.334948539733887,,0.06904736298019998,,CIFAR-10 Softmax,7,0.045806057751178735,3.67861557006836,0.005256590433418751,0.05353839322924614
512,10,10000,2020-01-05T14_37_58,0.1,0.9359,,,,0.4464542865753174,0.4461365342140198,4.0,,FastJL,3650408.0,,,,,0.9840596318244934,,,13.316503524780273,,0.06989882100606337,,CIFAR-10 Softmax,8,0.045806057751178735,3.67861557006836,-0.0011751571437343955,0.06774001568555832
512,10,10000,2020-01-05T14_37_58,0.1,0.9359,,,,0.482956200838089,0.4810743629932404,4.0,,FastJL,3650408.0,,,,,0.9824188947677612,,,13.29430103302002,,0.0842859799740836,,CIFAR-10 Softmax,9,0.045806057751178735,3.67861557006836,-0.004516805522143841,0.06900932639837265
512,10,10000,2020-01-05T14_37_59,0.1105,0.9359,,,,0.6049489378929138,0.6039232015609741,8.0,,FastJL,7295696.0,,,,,0.9650298357009888,,,13.058988571166992,,0.06717449898133054,,CIFAR-10 Softmax,0,0.045806057751178735,3.67861557006836,-0.004377079196274281,0.10958829522132874
512,10,10000,2020-01-05T14_37_59,0.2465,0.9359,,,,0.555495023727417,0.5552397966384888,8.0,,FastJL,7295696.0,,,,,0.956624448299408,,,12.945244789123535,,0.05947990398271941,,CIFAR-10 Softmax,1,0.045806057751178735,3.67861557006836,0.008673639036715029,0.14942166209220886
