D,M,N,__pyience_timestamp__,bias,corr,cossim,d,method,muls,ncodebooks,nlookups,normalized_mse,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_std
75,1,48400,2019-12-31T23_14_28,-3.366912364959717,0.028984781354665763,0.8925284743309021,,Bolt,58080000,16.0,774400.0,4.3841772079467765,24602.068359375,0.0020491089671850204,Caltech 10 (Leopards),0,313.6767272949219,74.91033935546875,139.95329284667972
75,1,48400,2019-12-31T23_14_28,-46.17549133300781,-0.05180647969245911,0.8773786425590515,,Bolt,58080000,16.0,774400.0,5.211785793304443,28195.662109375,0.002433795016258955,Caltech 11 (Leopards),0,270.86813354492193,73.55257415771484,139.95329284667972
75,1,48400,2019-12-31T23_14_28,11.66238784790039,0.02676673978567124,0.8819079399108887,,Bolt,58080000,16.0,774400.0,3.109409809112549,28024.443359375,0.0020698379958048463,Caltech 12 (Leopards),0,328.7060241699219,94.9356918334961,139.95329284667972
75,1,48400,2019-12-31T23_14_28,-50.72830200195313,0.08603372424840927,0.9085112810134888,,Bolt,58080000,16.0,774400.0,12.213502883911133,22998.32421875,0.0022966519463807344,Caltech 13 (Leopards),0,266.31533813476557,43.39382934570313,139.95329284667972
75,1,48400,2019-12-31T23_14_28,-22.80117225646973,-0.0352013073861599,0.8878141045570374,,Bolt,58080000,16.0,774400.0,5.434615135192871,25467.47265625,0.0026515660574659705,Caltech 14 (Leopards),0,294.24249267578125,68.45552825927734,139.95329284667972
75,1,48400,2019-12-31T23_14_28,239.4093780517578,-0.13503454625606534,0.8109643459320068,,Bolt,58080000,16.0,774400.0,2.362643241882324,149845.21875,0.002475305926054716,Caltech 15 (Motorbikes),0,556.4530639648439,251.8386383056641,139.95329284667972
75,1,48400,2019-12-31T23_14_28,238.78094482421875,-0.106173075735569,0.8235059976577759,,Bolt,58080000,16.0,774400.0,2.465674638748169,140815.78125,0.002349884016439319,Caltech 16 (Motorbikes),0,555.8245849609375,238.97792053222656,139.95329284667972
75,1,48400,2019-12-31T23_14_28,219.1278533935547,-0.08030848205089569,0.81685870885849,,Bolt,58080000,16.0,774400.0,2.1921513080596924,134551.984375,0.002639183076098561,Caltech 17 (Motorbikes),0,536.1715087890625,247.74778747558602,139.95329284667972
75,1,48400,2019-12-31T23_14_28,207.64198303222656,-0.2116652429103852,0.7839822173118591,,Bolt,58080000,16.0,774400.0,2.1800079345703125,143967.109375,0.002523023053072393,Caltech 18 (Motorbikes),0,524.6856079101561,256.98193359375,139.95329284667972
75,1,48400,2019-12-31T23_14_28,186.4443664550781,-0.1522059291601181,0.7680033445358276,,Bolt,58080000,16.0,774400.0,1.8336155414581297,145986.09375,0.002645629923790693,Caltech 19 (Motorbikes),0,503.4880065917969,282.16400146484375,139.95329284667972
75,1,48400,2019-12-31T23_29_08,3.2022652626037598,0.9991385340690612,0.9998202919960022,,Bolt,58080000,32.0,1548800.0,0.0021352069452404976,55.80392074584961,1.1527944899862632,Caltech 0 (Faces),0,317.73443603515625,161.6636505126953,160.78114318847656
75,1,48400,2019-12-31T23_29_08,4.096716403961182,0.08614780008792877,0.7993618845939636,,Bolt,58080000,32.0,1548800.0,1.6867132186889648,51631.23828125,0.0043214630568400025,Caltech 5 (Faces_easy),0,318.6288757324219,174.958740234375,160.78114318847656
75,1,48400,2019-12-31T23_29_08,120.44464111328124,0.1918894350528717,0.8528527021408081,,Bolt,58080000,32.0,1548800.0,1.8309316635131845,63588.26953125,0.004388626082800329,Caltech 6 (Faces_easy),0,434.976806640625,186.3598937988281,160.78114318847656
