------------------------ Caltech3x3 i8
---- ncodebooks=2
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2, 64,  2.0, (5x10):,  1.4790, (6.6683e+07/s),  1.4800, (6.6638e+07/s),  1.5100, (6.5314e+07/s),  1.4990, (6.5793e+07/s),  1.5010, (6.5706e+07/s)
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2, 64,  2.0, (5x10):,  0.0040, (2.4656e+10/s),  0.0030, (3.2875e+10/s),  0.0030, (3.2875e+10/s),  0.0030, (3.2875e+10/s),  0.0030, (3.2875e+10/s)
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2, 64,  4.0, (5x10):,  1.4880, (6.6280e+07/s),  1.5040, (6.5574e+07/s),  1.5020, (6.5662e+07/s),  1.4820, (6.6548e+07/s),  1.5060, (6.5487e+07/s)
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2, 64,  4.0, (5x10):,  0.0010, (9.8624e+10/s),  0.0010, (9.8624e+10/s),  0.0010, (9.8624e+10/s),  0.0010, (9.8624e+10/s),  0.0010, (9.8624e+10/s)
------------------------ Caltech5x5 i8
---- ncodebooks=2
Caltech5x5, i8 , amm mithral nolut     , N D M C lut_work_coef:, 48400,  75,   2,  2, -1.0, (5x10):,  0.0270, (3.5864e+09/s),  0.0270, (3.5864e+09/s),  0.0280, (3.4583e+09/s),  0.0270, (3.5864e+09/s),  0.0270, (3.5864e+09/s)
Caltech5x5, i8 , amm mithral denselut  , N D M C lut_work_coef:, 48400,  75,   2,  2, -1.0, (5x10):,  0.0300, (3.2277e+09/s),  0.0300, (3.2277e+09/s),  0.0300, (3.2277e+09/s),  0.0300, (3.2277e+09/s),  0.0300, (3.2277e+09/s)
Caltech5x5, i8 , mithral lut dense     , N D M C lut_work_coef:, 48400,  75,   2,  2, -1.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech5x5, i8 , amm mithral enc       , N D M C lut_work_coef:, 48400,  75,   2,  2, -1.0, (5x10):,  0.0210, (4.6110e+09/s),  0.0210, (4.6110e+09/s),  0.0220, (4.4015e+09/s),  0.0210, (4.6110e+09/s),  0.0210, (4.6110e+09/s)
Caltech5x5, i8 , amm mithral scan      , N D M C lut_work_coef:, 48400,  75,   2,  2, -1.0, (5x10):,  0.0060, (1.6139e+10/s),  0.0060, (1.6139e+10/s),  0.0060, (1.6139e+10/s),  0.0060, (1.6139e+10/s),  0.0060, (1.6139e+10/s)
Caltech5x5, i8 , amm mithral sparselut , N D M C lut_work_coef:, 48400,  75,   2,  2,  1.0, (5x10):,  0.0300, (3.2277e+09/s),  0.0300, (3.2277e+09/s),  0.0300, (3.2277e+09/s),  0.0300, (3.2277e+09/s),  0.0300, (3.2277e+09/s)
Caltech5x5, i8 , mithral lut sparse    , N D M C lut_work_coef:, 48400,  75,   2,  2,  1.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech5x5, i8 , amm mithral sparselut , N D M C lut_work_coef:, 48400,  75,   2,  2,  2.0, (5x10):,  0.0300, (3.2277e+09/s),  0.0300, (3.2277e+09/s),  0.0300, (3.2277e+09/s),  0.0300, (3.2277e+09/s),  0.0300, (3.2277e+09/s)
Caltech5x5, i8 , mithral lut sparse    , N D M C lut_work_coef:, 48400,  75,   2,  2,  2.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
---- ncodebooks=4
Caltech5x5, i8 , amm mithral nolut     , N D M C lut_work_coef:, 48400,  75,   2,  4, -1.0, (5x10):,  0.0550, (1.7606e+09/s),  0.0550, (1.7606e+09/s),  0.0550, (1.7606e+09/s),  0.0550, (1.7606e+09/s),  0.0540, (1.7932e+09/s)
Caltech5x5, i8 , amm mithral denselut  , N D M C lut_work_coef:, 48400,  75,   2,  4, -1.0, (5x10):,  0.0590, (1.6412e+09/s),  0.0590, (1.6412e+09/s),  0.0590, (1.6412e+09/s),  0.0580, (1.6695e+09/s),  0.0590, (1.6412e+09/s)
Caltech5x5, i8 , mithral lut dense     , N D M C lut_work_coef:, 48400,  75,   2,  4, -1.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech5x5, i8 , amm mithral enc       , N D M C lut_work_coef:, 48400,  75,   2,  4, -1.0, (5x10):,  0.0500, (1.9366e+09/s),  0.0490, (1.9762e+09/s),  0.0490, (1.9762e+09/s),  0.0490, (1.9762e+09/s),  0.0490, (1.9762e+09/s)
Caltech5x5, i8 , amm mithral scan      , N D M C lut_work_coef:, 48400,  75,   2,  4, -1.0, (5x10):,  0.0060, (1.6139e+10/s),  0.0060, (1.6139e+10/s),  0.0060, (1.6139e+10/s),  0.0060, (1.6139e+10/s),  0.0060, (1.6139e+10/s)
Caltech5x5, i8 , amm mithral sparselut , N D M C lut_work_coef:, 48400,  75,   2,  4,  1.0, (5x10):,  0.0580, (1.6695e+09/s),  0.0580, (1.6695e+09/s),  0.0580, (1.6695e+09/s),  0.0580, (1.6695e+09/s),  0.0580, (1.6695e+09/s)
Caltech5x5, i8 , mithral lut sparse    , N D M C lut_work_coef:, 48400,  75,   2,  4,  1.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech5x5, i8 , amm mithral sparselut , N D M C lut_work_coef:, 48400,  75,   2,  4,  2.0, (5x10):,  0.0600, (1.6139e+09/s),  0.0590, (1.6412e+09/s),  0.0580, (1.6695e+09/s),  0.0590, (1.6412e+09/s),  0.0580, (1.6695e+09/s)
Caltech5x5, i8 , mithral lut sparse    , N D M C lut_work_coef:, 48400,  75,   2,  4,  2.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech5x5, i8 , amm mithral sparselut , N D M C lut_work_coef:, 48400,  75,   2,  4,  4.0, (5x10):,  0.0580, (1.6695e+09/s),  0.0580, (1.6695e+09/s),  0.0580, (1.6695e+09/s),  0.0580, (1.6695e+09/s),  0.0580, (1.6695e+09/s)
Caltech5x5, i8 , mithral lut sparse    , N D M C lut_work_coef:, 48400,  75,   2,  4,  4.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
---- ncodebooks=8
Caltech5x5, i8 , amm mithral nolut     , N D M C lut_work_coef:, 48400,  75,   2,  8, -1.0, (5x10):,  0.1610, (6.0144e+08/s),  0.1580, (6.1286e+08/s),  0.1580, (6.1286e+08/s),  0.1560, (6.2072e+08/s),  0.1570, (6.1676e+08/s)
Caltech5x5, i8 , amm mithral denselut  , N D M C lut_work_coef:, 48400,  75,   2,  8, -1.0, (5x10):,  0.1750, (5.5333e+08/s),  0.1710, (5.6627e+08/s),  0.1720, (5.6298e+08/s),  0.1760, (5.5018e+08/s),  0.1760, (5.5018e+08/s)
Caltech5x5, i8 , mithral lut dense     , N D M C lut_work_coef:, 48400,  75,   2,  8, -1.0, (5x10):,  0.0010, (9.6832e+10/s),  0.0010, (9.6832e+10/s),  0.0010, (9.6832e+10/s),  0.0010, (9.6832e+10/s),  0.0010, (9.6832e+10/s)
Caltech5x5, i8 , amm mithral enc       , N D M C lut_work_coef:, 48400,  75,   2,  8, -1.0, (5x10):,  0.1620, (5.9773e+08/s),  0.1620, (5.9773e+08/s),  0.1560, (6.2072e+08/s),  0.1560, (6.2072e+08/s),  0.1660, (5.8333e+08/s)
Caltech5x5, i8 , amm mithral scan      , N D M C lut_work_coef:, 48400,  75,   2,  8, -1.0, (5x10):,  0.0090, (1.0759e+10/s),  0.0090, (1.0759e+10/s),  0.0090, (1.0759e+10/s),  0.0090, (1.0759e+10/s),  0.0080, (1.2104e+10/s)
Caltech5x5, i8 , amm mithral sparselut , N D M C lut_work_coef:, 48400,  75,   2,  8,  1.0, (5x10):,  0.1760, (5.5018e+08/s),  0.1700, (5.6960e+08/s),  0.1710, (5.6627e+08/s),  0.1720, (5.6298e+08/s),  0.1710, (5.6627e+08/s)
